year,sex,ager12,ucr39,count
2006,F,7,7,1071
2006,F,7,8,5417
2006,F,7,9,6082
2006,F,7,10,3233
2006,F,7,12,513
2006,F,7,13,504
2006,F,7,14,607
2006,F,7,15,5149
2006,F,7,16,2181
2006,F,7,17,51
2006,F,7,20,1182
2006,F,7,21,6029
2006,F,7,22,3471
2006,F,7,23,486
2006,F,7,24,2868
2006,F,7,25,41
2006,F,7,26,357
2006,F,7,27,823
2006,F,7,28,1968
2006,F,7,29,89
2006,F,7,30,2197
2006,F,7,31,907
2006,F,7,32,60
2006,F,7,33,2
2006,F,7,34,293
2006,F,7,36,838
2006,F,7,37,11030
2006,F,7,38,1811
2006,F,7,39,4186
2006,F,7,40,1854
2006,F,7,41,583
2006,F,7,42,536
2006,F,8,1,22
2006,F,8,2,3
2006,F,8,3,374
2006,F,8,5,610
2006,F,8,6,3613
2006,F,8,7,2568
2006,F,8,8,12814
2006,F,8,9,8791
2006,F,8,10,5400
2006,F,8,12,1145
2006,F,8,13,1092
2006,F,8,14,1094
2006,F,8,15,9038
2006,F,8,16,4765
2006,F,8,17,351
2006,F,8,20,1496
2006,F,8,21,13149
2006,F,8,22,5714
2006,F,8,23,905
2006,F,8,24,4640
2006,F,8,25,144
2006,F,8,26,693
2006,F,8,27,1279
2006,F,8,28,6001
2006,F,8,29,133
2006,F,8,30,2127
2006,F,8,31,1931
2006,F,8,32,3
2006,F,8,34,325
2006,F,8,36,786
2006,F,8,37,16228
2006,F,8,38,1409
2006,F,8,39,2398
2006,F,8,40,1124
2006,F,8,41,275
2006,F,8,42,205
2006,F,9,1,40
2006,F,9,2,1
2006,F,9,3,113
2006,F,9,5,899
2006,F,9,6,5052
2006,F,9,7,3940
2006,F,9,8,20197
2006,F,9,9,7884
2006,F,9,10,6088
2006,F,9,12,1897
2006,F,9,13,1969
2006,F,9,14,1870
2006,F,9,15,12357
2006,F,9,16,7151
2006,F,9,17,2103
2006,F,9,20,1830
2006,F,9,21,23894
2006,F,9,22,9851
2006,F,9,23,1568
2006,F,9,24,8885
2006,F,9,25,386
2006,F,9,26,1597
2006,F,9,27,2693
2006,F,9,28,14092
2006,F,9,29,242
2006,F,9,30,1912
2006,F,9,31,3547
2006,F,9,34,187
2006,F,9,36,1023
2006,F,9,37,24816
2006,F,9,38,1095
2006,F,9,39,2396
2006,F,9,40,418
2006,F,9,41,138
2006,F,9,42,72
2006,F,10,1,70
2006,F,10,2,4
2006,F,10,3,23
2006,F,10,5,1396
2006,F,10,6,8107
2006,F,10,7,5697
2006,F,10,8,21730
2006,F,10,9,9237
2006,F,10,10,6608
2006,F,10,12,2982
2006,F,10,13,3463
2006,F,10,14,2848
2006,F,10,15,16447
